Mot;Occurrence;Mot_nettoye;Cluster
pensais;212;pensai;0
exagérait;3;exagérer;0
sujet;162;sujet;0
dîtes;44;dîte;0
demander;166;demander;0
semble;225;;0
candidat;8;candidat;0
idéal;13;idéal;0
fort;171;fort;0
mâle;34;mâle;0
alpha;18;alpha;0
instincts;6;instinct;0
protecteurs;5;protecteur;0
discuter;48;discuter;0
ennuie;26;ennuyer;0
pris;251;prendre;0
soin;40;soin;0
parfois;150;;0
retrouvée;27;retrouver;0
marrie;2;marrir;0
nécessité;2;nécessité;0
comprendre;79;comprendre;0
lorsque;53;;0
réalisé;30;réaliser;0
commis;24;commettre;0
serais;52;serai;0
personnes;241;personne;0
unique;35;unique;0
feu;167;feu;0
raté;37;rater;0
comprenez;72;comprenez;0
thèse;22;thèse;0
explique;66;expliquer;0
voyons;63;voyon;0
accorde;13;accorde;0
ressentons;4;ressenton;0
manquons;2;manquon;0
épousé;8;épouser;0
inquiète;43;inquiet;0
vivre;100;vivre;0
passé;308;passer;0
sniper;32;sniper;0
accordez;4;accorder;0
faveur;43;faveur;0
aïeux;3;aïeul;0
mouche;17;mouche;0
mur;49;mur;0
écrasé;38;écraser;0
empreintes;61;empreinte;0
provenant;39;provenir;0
nationale;26;national;0
présumer;5;présumer;0
délinquant;7;délinquer;0
primaire;3;primaire;0
super;298;super;0
réduit;22;réduit;0
parait;9;parer;0
retourné;18;retourner;0
excité;19;excité;0
fasse;62;fass;0
nez;66;nez;0
hypocrisie;2;hypocrisie;0
institution;11;institution;0
sacrée;24;sacrer;0
garçon;134;garçon;0
apporte;17;apporte;0
véritablement;5;véritablement;0
avantages;6;avantage;0
terminer;7;terminer;0
profite;5;profit;0
restent;5;;0
sorti;64;sortir;0
danseuse;8;danseur;0
miami;6;miami;0
abbaye;2;abbay;0
larue;2;larue;0
bref;11;bref;0
eut;10;avoir;0
gosse;64;gosse;0
suffira;8;suffire;0
ringo;3;ringo;0
tue;81;taire;0
suite;82;suite;0
envoyé;129;envoyer;0
boîte;44;boîte;0
raccordement;5;raccordement;0
cheveu;16;cheveu;0
brun;5;brun;0
encastré;3;encastrer;0
niveau;74;niveau;0
plancher;7;plancher;0
trouvait;26;trouver;0
verrez;20;verrez;0
contours;5;contour;0
correspondent;88;correspondent;0
traumatique;8;traumatique;0
ceux;152;;0
partiez;8;partiez;0
sommes;259;être;0
sûrs;37;sûr;0
